=== 지오코딩 실패 항목 리스트 (주소 검색 기준) ===
시도 횟수: 3942건 / 성공: 3747건 / 실패: 195건
--------------------------------------------------------------------------------
행 0 | 도로명: 서울특별시 은평구 증산로3길 20 | 지번: nan | 사유: 검색 결과 없음
행 1 | 도로명: 서울특별시 은평구 증산로3길 22 | 지번: nan | 사유: 검색 결과 없음
행 2 | 도로명: 서울특별시 은평구 증산로1길 12-21 | 지번: nan | 사유: 검색 결과 없음
행 3 | 도로명: 서울특별시 은평구 진흥로12길 150 | 지번: nan | 사유: 검색 결과 없음
행 1095 | 도로명: 서울특별시 종로구 통일로14길16 | 지번: 서울특별시 종로구 무악동 13-9 | 사유: 검색 결과 없음
행 1194 | 도로명: 서울특별시 종로구 통일로18나길13-11 | 지번: 서울특별시 종로구 무악동 산 2-85 | 사유: 검색 결과 없음
행 1195 | 도로명: 서울특별시 종로구 통일로18나길13-11 | 지번: 서울특별시 종로구 무악동 산 2-85 | 사유: 검색 결과 없음
행 1734 | 도로명: 서울특별시 종로구 창덕궁3가길21 | 지번: 서울특별시 종로구 원서동 13-4 | 사유: 검색 결과 없음
행 1812 | 도로명: 서울특별시 종로구 창덕궁길134 | 지번: 서울특별시 종로구 원서동 15-8 | 사유: 검색 결과 없음
행 2195 | 도로명: 서울특별시 종로구 삼일대로79 | 지번: 서울특별시 종로구 종로2가 7-9 | 사유: 검색 결과 없음
행 2299 | 도로명: 서울특별시 종로구 수표로97-5 | 지번: 서울특별시 종로구 관수동 8-3 | 사유: 검색 결과 없음
행 2468 | 도로명: 서울특별시 종로구 인사동1길14 | 지번: 서울특별시 종로구 인사동 120-4 | 사유: 검색 결과 없음
행 2557 | 도로명: 서울특별시 종로구 종로11길19 | 지번: 서울특별시 종로구 인사동 225 | 사유: 검색 결과 없음
행 2752 | 도로명: 서울특별시 종로구 창경궁로129-3 | 지번: 서울특별시 종로구 인의동 4-7 | 사유: 검색 결과 없음
행 2871 | 도로명: 서울특별시 종로구 김상옥로18-12 | 지번: 서울특별시 종로구 연지동 188-4 | 사유: 검색 결과 없음
행 4320 | 도로명: 서울특별시 종로구 명륜길28 | 지번: 서울특별시 종로구 명륜3가 21-1 | 사유: 검색 결과 없음
행 4427 | 도로명: 서울특별시 종로구 성균관로17길18 | 지번: 서울특별시 종로구 명륜1가 13-2 | 사유: 검색 결과 없음
행 4428 | 도로명: 서울특별시 종로구 성균관로17길18 | 지번: 서울특별시 종로구 명륜1가 13-2 | 사유: 검색 결과 없음
행 4458 | 도로명: 서울특별시 종로구 성균관로35 | 지번: 서울특별시 종로구 명륜1가 18-7 | 사유: 검색 결과 없음
행 4584 | 도로명: 서울특별시 종로구 성균관로7길22-29 | 지번: 서울특별시 종로구 명륜3가 21-2 | 사유: 검색 결과 없음
행 4644 | 도로명: 서울특별시 종로구 창경궁로27길25 | 지번: 서울특별시 종로구 명륜3가 101-1 | 사유: 검색 결과 없음
행 5232 | 도로명: 서울특별시 종로구 지봉로63 | 지번: 서울특별시 종로구 창신동 25-2 | 사유: 검색 결과 없음
행 5877 | 도로명: 서울특별시 종로구 창신길3 | 지번: 서울특별시 종로구 창신동 693-1 | 사유: 검색 결과 없음
행 6193 | 도로명: 서울특별시 종로구 종로63길15 | 지번: 서울특별시 종로구 숭인동 72-190 | 사유: 검색 결과 없음
행 6801 | 도로명: 서울특별시 종로구 종로67길9-4 | 지번: 서울특별시 종로구 숭인동 178-137 | 사유: 검색 결과 없음
행 7835 | 도로명: nan | 지번: 서울특별시 중랑구 상봉1동 154-22 | 사유: 검색 결과 없음
행 7836 | 도로명: nan | 지번: 서울특별시 중랑구 상봉1동 785 | 사유: 검색 결과 없음
행 7837 | 도로명: nan | 지번: 서울특별시 중랑구 상봉1동 660-4 | 사유: 검색 결과 없음
행 7838 | 도로명: nan | 지번: 서울특별시 중랑구 중화1동 487-1 | 사유: 검색 결과 없음
행 7839 | 도로명: nan | 지번: 서울특별시 중랑구 중화1동 490-6 | 사유: 검색 결과 없음
행 7840 | 도로명: nan | 지번: 서울특별시 중랑구 중화2동 242-40 | 사유: 검색 결과 없음
행 7841 | 도로명: nan | 지번: 서울특별시 중랑구 중화2동 229-44 | 사유: 검색 결과 없음
행 7842 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 475-10 | 사유: 검색 결과 없음
행 7843 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 475-8 | 사유: 검색 결과 없음
행 7844 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 100-3 | 사유: 검색 결과 없음
행 7845 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 100-2 | 사유: 검색 결과 없음
행 7846 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 99-3 | 사유: 검색 결과 없음
행 7847 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 100-57 | 사유: 검색 결과 없음
행 7848 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 81-21 | 사유: 검색 결과 없음
행 7849 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 81-22 | 사유: 검색 결과 없음
행 7850 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 81-3 | 사유: 검색 결과 없음
행 7851 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 81-15 | 사유: 검색 결과 없음
행 7852 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 82 | 사유: 검색 결과 없음
행 7853 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 82-2 | 사유: 검색 결과 없음
행 7854 | 도로명: nan | 지번: 서울특별시 중랑구 묵1동 39-5 | 사유: 검색 결과 없음
