=== 지오코딩 실패 항목 리스트 (주소 검색 기준) ===
시도 횟수: 8724건 / 성공: 1264건 / 실패: 7460건
--------------------------------------------------------------------------------
행 0 | 도로명: 서울특별시 은평구 증산로3길 20 | 지번: nan | 사유: 검색 결과 없음
행 1 | 도로명: 서울특별시 은평구 증산로3길 22 | 지번: nan | 사유: 검색 결과 없음
행 2 | 도로명: 서울특별시 은평구 증산로1길 12-21 | 지번: nan | 사유: 검색 결과 없음
행 3 | 도로명: 서울특별시 은평구 진흥로12길 150 | 지번: nan | 사유: 검색 결과 없음
행 900 | 도로명: 서울특별시 종로구 평창길224 | 지번: 서울특별시 종로구 평창동 510 | 사유: 검색 결과 없음
행 901 | 도로명: 서울특별시 종로구 평창길23 | 지번: 서울특별시 종로구 평창동 490-2 | 사유: 검색 결과 없음
행 902 | 도로명: 서울특별시 종로구 평창길230 | 지번: 서울특별시 종로구 평창동 510 | 사유: 검색 결과 없음
행 919 | 도로명: 서울특별시 종로구 평창길254 | 지번: 서울특별시 종로구 평창동 475-25 | 사유: 검색 결과 없음
행 932 | 도로명: 서울특별시 종로구 평창길272 | 지번: 서울특별시 종로구 평창동 447 | 사유: 검색 결과 없음
행 933 | 도로명: 서울특별시 종로구 평창길272 | 지번: 서울특별시 종로구 평창동 447-1 | 사유: 검색 결과 없음
행 934 | 도로명: 서울특별시 종로구 평창길275-2 | 지번: 서울특별시 종로구 평창동 447 | 사유: 검색 결과 없음
행 1038 | 도로명: 서울특별시 종로구 평창문화로152-6 | 지번: 서울특별시 종로구 평창동 66-56 | 사유: 검색 결과 없음
행 1039 | 도로명: 서울특별시 종로구 평창문화로152-7 | 지번: 서울특별시 종로구 평창동 74 | 사유: 검색 결과 없음
행 1040 | 도로명: 서울특별시 종로구 평창문화로156 | 지번: 서울특별시 종로구 평창동 60-1 | 사유: 검색 결과 없음
행 1041 | 도로명: 서울특별시 종로구 평창문화로156 | 지번: 서울특별시 종로구 평창동 60-5 | 사유: 검색 결과 없음
행 1042 | 도로명: 서울특별시 종로구 평창문화로156 | 지번: 서울특별시 종로구 평창동 60-5 | 사유: 검색 결과 없음
행 1043 | 도로명: 서울특별시 종로구 평창문화로25-1 | 지번: 서울특별시 종로구 평창동 290-1 | 사유: 검색 결과 없음
행 1044 | 도로명: 서울특별시 종로구 평창문화로28 | 지번: 서울특별시 종로구 평창동 288-1 | 사유: 검색 결과 없음
행 1045 | 도로명: 서울특별시 종로구 평창문화로43-1 | 지번: 서울특별시 종로구 평창동 591 | 사유: 검색 결과 없음
행 1046 | 도로명: 서울특별시 종로구 평창문화로45-1 | 지번: 서울특별시 종로구 평창동 314 | 사유: 검색 결과 없음
행 1095 | 도로명: 서울특별시 종로구 통일로14길16 | 지번: 서울특별시 종로구 무악동 13-9 | 사유: 검색 결과 없음
행 1194 | 도로명: 서울특별시 종로구 통일로18나길13-11 | 지번: 서울특별시 종로구 무악동 산 2-85 | 사유: 검색 결과 없음
행 1195 | 도로명: 서울특별시 종로구 통일로18나길13-11 | 지번: 서울특별시 종로구 무악동 산 2-85 | 사유: 검색 결과 없음
행 1212 | 도로명: 서울특별시 종로구 통일로18나길9 | 지번: 서울특별시 종로구 무악동 46-1910 | 사유: 검색 결과 없음
행 1213 | 도로명: 서울특별시 종로구 통일로18나길9 | 지번: 서울특별시 종로구 무악동 81-5 | 사유: 검색 결과 없음
행 1216 | 도로명: 서울특별시 종로구 통일로18실64 | 지번: 서울특별시 종로구 무악동 78 | 사유: 검색 결과 없음
행 1217 | 도로명: 서울특별시 종로구 통일로246-10 | 지번: 서울특별시 종로구 무악동 83-2 | 사유: 검색 결과 없음
행 1218 | 도로명: 서울특별시 종로구 통일로246-10 | 지번: 서울특별시 종로구 무악동 83-2 | 사유: 검색 결과 없음
행 1219 | 도로명: 서울특별시 종로구 통일로246-10 | 지번: 서울특별시 종로구 무악동 81-8 | 사유: 검색 결과 없음
행 1220 | 도로명: 서울특별시 종로구 통일로246-10 | 지번: 서울특별시 종로구 무악동 82 | 사유: 검색 결과 없음
행 1221 | 도로명: 서울특별시 종로구 통일로246-10 | 지번: 서울특별시 종로구 무악동 82 | 사유: 검색 결과 없음
행 1222 | 도로명: 서울특별시 종로구 통일로246-10 | 지번: 서울특별시 종로구 무악동 82 | 사유: 검색 결과 없음
행 1223 | 도로명: 서울특별시 종로구 통일로246-10 | 지번: 서울특별시 종로구 무악동 83-3 | 사유: 검색 결과 없음
행 1224 | 도로명: 서울특별시 종로구 통일로246-10 | 지번: 서울특별시 종로구 무악동 82 | 사유: 검색 결과 없음
행 1225 | 도로명: 서울특별시 종로구 통일로248 | 지번: 서울특별시 종로구 무악동 83-1 | 사유: 검색 결과 없음
행 1226 | 도로명: 서울특별시 종로구 통일로252 | 지번: 서울특별시 종로구 무악동 42-6 | 사유: 검색 결과 없음
행 1227 | 도로명: 서울특별시 종로구 통일로266 | 지번: 서울특별시 종로구 무악동 63-8 | 사유: 검색 결과 없음
행 1228 | 도로명: 서울특별시 종로구 통일로266 | 지번: 서울특별시 종로구 무악동 63-4 | 사유: 검색 결과 없음
행 1229 | 도로명: 서울특별시 종로구 경교장1길13 | 지번: 서울특별시 종로구 교남동 45-1 | 사유: 검색 결과 없음
행 1230 | 도로명: 서울특별시 종로구 경교장1길15 | 지번: 서울특별시 종로구 교남동 47-2 | 사유: 검색 결과 없음
행 1231 | 도로명: 서울특별시 종로구 경교장1길17 | 지번: 서울특별시 종로구 교남동 51 | 사유: 검색 결과 없음
행 1232 | 도로명: 서울특별시 종로구 경교장1길7 | 지번: 서울특별시 종로구 교남동 37-2 | 사유: 검색 결과 없음
