개수,위도,경도
4,37.5814,126.9686
3,37.5693,126.9914
2,37.57181,126.9656
4,37.58019,127.0084
3,37.57439,126.9881
2,37.57334,126.9889
2,37.57596,127.0104
3,37.57647,126.962
3,37.6019,126.981
3,37.5709,126.9906
3,37.57513,126.9624
3,37.58483,126.9646
2,37.57611,127.0075
3,37.57813,126.9693
2,37.57007,126.9654
3,37.57472,127.0185
3,37.57259,126.9715
3,37.57742,126.986
3,37.57572,127.02
2,37.57762,127.0067
2,37.57172,126.9948
3,37.57381,126.9605
3,37.57609,126.9568
3,37.57411,127.0075
2,37.57646,126.9566
2,37.59212,126.9674
3,37.56944,126.9809
4,37.56907,126.983
2,37.58317,126.9697
3,37.57607,127.0189
3,37.57854,126.9638
3,37.5744,127.0068
2,37.57105,126.9659
3,37.57966,126.9679
3,37.57305,126.9857
2,37.58268,126.9694
2,37.5703,126.9932
3,37.57814,127.0202
3,37.58088,126.9636
2,37.58774,126.9839
3,37.60708,126.9642
3,37.58675,126.9986
3,37.58954,126.9923
2,37.5718,126.9958
3,37.58284,126.9665
3,37.58934,126.9965
2,37.57425,127.004
1,37.57063,126.9719
5,37.58308,126.9878
2,37.57403,127.001
2,37.59016,126.9985
3,37.58012,127.003
1,37.57422,126.9629
3,37.57428,126.9922
3,37.6125,126.9589
6,37.57069,127.0127
3,37.57145,126.9794
1,37.58022,126.969
3,37.59929,126.9628
2,37.5786,126.9731
2,37.58715,126.998
3,37.58974,126.9926
2,37.57114,126.9652
2,37.5707,126.9775
4,37.58475,126.9953
4,37.5898,126.9969
3,37.60845,126.973
3,37.58653,126.9968
3,37.59136,126.9905
2,37.59038,126.9944
2,37.60009,126.9557
2,37.58814,126.9981
3,37.58312,126.9628
3,37.56909,126.9822
2,37.57569,127.0124
2,37.61251,126.975
3,37.6044,126.9589
3,37.59068,126.9653
2,37.5711,126.9955
2,37.58804,126.9976
3,37.57549,126.9578
1,37.58091,126.9646
3,37.61219,126.9757
4,37.58308,126.9638
2,37.579,126.9632
3,37.60446,126.9842
2,37.57554,127.0184
3,37.60166,126.9573
2,37.57784,126.9677
3,37.58999,126.9847
3,37.57719,126.9719
3,37.57651,126.9706
3,37.57546,127.0127
2,37.57607,126.9624
3,37.58917,126.9852
3,37.59078,126.9925
4,37.57792,127.0215
2,37.57521,127.0191
2,37.59187,126.9667
2,37.57536,126.9629
3,37.57253,126.9895
3,37.60031,126.9756
3,37.60681,126.9572
2,37.57881,126.9722
2,37.5744,126.9651
3,37.59218,126.9644
3,37.60431,126.9826
3,37.58068,126.9694
3,37.60684,126.9852
3,37.58316,126.9891
2,37.59129,126.9663
3,37.59645,126.9679
1,37.57784,126.9677
2,37.57731,127.0181
3,37.60544,126.9674
2,37.57229,126.9909
2,37.583,126.962
2,37.58438,126.9804
2,37.58381,126.9693
3,37.58644,126.9728
2,37.59693,126.9668
3,37.6054,126.9854
2,37.58276,126.9686
3,37.57408,126.9964
3,37.61471,126.9744
3,37.58137,126.9888
2,37.5772,127.0179
3,37.5731,127.0079
3,37.57405,127.0177
3,37.58467,126.9834
2,37.58448,126.9972
2,37.57993,127.013
2,37.57096,126.9653
2,37.57763,127.0165
2,37.5793,127.0104
2,37.58036,126.9884
3,37.57866,126.9737
3,37.57191,127.0047
2,37.58234,126.9668
3,37.58889,126.9942
3,37.60085,126.9771
4,37.5752,126.9711
3,37.57292,127.0091
3,37.57157,126.9798
3,37.57992,126.9823
3,37.56998,126.9657
3,37.57222,126.9616
1,37.57701,127.0135
3,37.5717,127.0074
3,37.57639,127
3,37.5729,126.9626
3,37.57418,126.989
2,37.57804,127.0182
3,37.57298,126.991
2,37.5766,126.9844
2,37.5781,126.9891
2,37.57652,126.9734
3,37.57032,127.0066
3,37.57515,126.9688
3,37.5751,126.9629
3,37.58177,126.9984
4,37.58342,126.9983
2,37.57594,127.0089
2,37.58409,126.9639
4,37.57809,127.0091
3,37.60624,126.9851
3,37.57669,127.0203
3,37.57829,126.9708
3,37.57276,126.999
3,37.61041,126.9742
3,37.57008,127.01
