개수,위도,경도
1,37.495254,127.107417
1,37.495354,127.107755
1,37.495443,127.108073
1,37.495551,127.10841
1,37.495654,127.108736
1,37.495795,127.109195
1,37.495891,127.109492
1,37.495987,127.109805
1,37.496093,127.110142
1,37.496197,127.11048
1,37.496356,127.11041
1,37.496255,127.110073
1,37.496144,127.109736
1,37.49605,127.109421
1,37.495962,127.109123
1,37.495821,127.108658
1,37.495723,127.108339
1,37.495619,127.108005
1,37.495505,127.107669
1,37.495414,127.107348
1,37.492208,126.882247
1,37.492451,126.882341
1,37.492676,126.882452
1,37.492829,126.882691
1,37.492895,126.882976
1,37.493023,126.882904
1,37.492943,126.882584
1,37.492737,126.882285
1,37.492485,126.882164
1,37.492241,126.88207
1,37.486607,126.878862
1,37.48677,126.879122
1,37.486935,126.879354
1,37.487085,126.879551
1,37.487239,126.879726
1,37.488591,126.880704
1,37.488882,126.880811
1,37.489153,126.88094
1,37.489424,126.881064
1,37.489678,126.881181
1,37.489725,126.881013
1,37.489448,126.880902
1,37.489175,126.880779
1,37.488894,126.880659
1,37.488607,126.880537
1,37.487349,126.879562
1,37.487221,126.879355
1,37.487028,126.879235
1,37.486844,126.879017
1,37.486668,126.878747
1,37.562224,126.855889
1,37.562387,126.855993
1,37.562574,126.856115
1,37.562771,126.856239
1,37.562966,126.85637
1,37.563157,126.856504
1,37.563319,126.856621
1,37.563571,126.856807
1,37.563756,126.856944
1,37.563951,126.857091
1,37.564141,126.857235
1,37.564301,126.857358
1,37.564475,126.857488
1,37.564632,126.857607
1,37.564797,126.857732
1,37.564981,126.857871
1,37.565169,126.858014
1,37.565393,126.858184
1,37.565581,126.858324
1,37.565774,126.858468
1,37.56598,126.85862
1,37.56623,126.858807
1,37.566441,126.858965
1,37.566638,126.859112
1,37.566858,126.859276
1,37.567077,126.859541
1,37.567287,126.859697
1,37.56752,126.859869
1,37.567734,126.860013
1,37.567948,126.860151
1,37.568161,126.860306
1,37.568392,126.860477
1,37.568598,126.860628
1,37.568806,126.860782
1,37.569011,126.860934
1,37.569232,126.861098
1,37.569423,126.86124
1,37.569644,126.861403
1,37.569851,126.861557
1,37.562968,126.863651
1,37.563086,126.863462
1,37.563229,126.863236
1,37.563357,126.863035
1,37.563497,126.862813
1,37.563641,126.862584
1,37.563778,126.862368
1,37.563913,126.862151
1,37.564054,126.861929
1,37.564191,126.861728
1,37.564378,126.861519
1,37.564584,126.861352
1,37.564783,126.861169
1,37.564968,126.860974
1,37.565134,126.860759
1,37.565288,126.860533
1,37.565449,126.860283
1,37.565605,126.860057
1,37.565791,126.859866
1,37.566009,126.85969
1,37.566217,126.859535
1,37.566415,126.859415
1,37.566622,126.859366
1,37.566883,126.858814
1,37.566842,126.858594
1,37.566787,126.858363
1,37.566838,126.858125
1,37.566892,126.85787
1,37.567016,126.857673
1,37.567101,126.85743
1,37.567218,126.857242
1,37.567306,126.856989
1,37.56742,126.856775
1,37.567463,126.856542
1,37.567526,126.856415
1,37.567552,126.856165
1,37.567629,126.855938
1,37.567666,126.855701
1,37.567763,126.855517
1,37.567837,126.855299
1,37.567965,126.855115
1,37.568053,126.854904
1,37.568179,126.854727
1,37.568272,126.854512
1,37.568412,126.854307
1,37.568517,126.854065
1,37.56867,126.853845
1,37.569995,126.861282
1,37.569772,126.861163
1,37.569636,126.861015
1,37.569393,126.860882
1,37.569212,126.860703
1,37.56898,126.860576
1,37.568775,126.860379
1,37.568519,126.860235
1,37.568313,126.860039
1,37.568069,126.859895
1,37.567886,126.85969
1,37.567632,126.859527
1,37.567429,126.859328
1,37.567189,126.859192
1,37.566956,126.859081
1,37.566756,126.858975
1,37.566567,126.858796
1,37.566346,126.85867
1,37.566046,126.858409
1,37.565871,126.858318
1,37.565701,126.858154
1,37.565512,126.858053
1,37.565299,126.857856
1,37.565118,126.857766
1,37.564962,126.857611
1,37.564766,126.857508
1,37.564611,126.857357
1,37.564425,126.85726
1,37.564246,126.857089
1,37.56404,126.856983
1,37.563872,126.856817
1,37.563652,126.856698
1,37.56343,126.8565
1,37.56324,126.856403
1,37.563099,126.856263
1,37.562978,126.856213
1,37.562867,126.856097
1,37.562713,126.856031
1,37.5623,126.855735
1,37.567105,126.859448
1,37.56721,126.859517
1,37.56731,126.859598
1,37.567518,126.859757
1,37.567638,126.859841
1,37.567755,126.859928
1,37.567112,126.859241
1,37.56722,126.859326
1,37.567319,126.859403
1,37.567529,126.859562
1,37.567649,126.859646
1,37.567774,126.859746
1,37.56406,126.857271
1,37.564214,126.857561
1,37.56433,126.857919
1,37.564373,126.858265
1,37.564413,126.858609
1,37.564442,126.859015
1,37.564454,126.859402
1,37.564386,126.859696
1,37.564347,126.860016
1,37.564301,126.860294
1,37.566959,126.857561
1,37.566932,126.857238
1,37.566802,126.856995
1,37.566604,126.856821
1,37.566352,126.856795
1,37.566116,126.856914
1,37.565954,126.857115
1,37.56582,126.857364
1,37.565683,126.857602
1,37.565535,126.857854
1,37.564372,126.860593
1,37.5653,126.858251
1,37.565159,126.858494
1,37.565018,126.85874
1,37.564877,126.858998
1,37.56471,126.8593
1,37.564562,126.859603
1,37.564454,126.859893
1,37.564256,126.860397
1,37.566071,126.856855
1,37.565918,126.857041
1,37.564528,126.860782
1,37.565772,126.857293
1,37.565623,126.857534
1,37.565475,126.857806
1,37.565254,126.85818
1,37.565125,126.858411
1,37.564977,126.85866
1,37.564821,126.858936
1,37.564749,126.859191
1,37.564792,126.859587
1,37.564924,126.859848
1,37.564747,126.86085
1,37.565141,126.859992
1,37.565344,126.860028
1,37.566939,126.858979
1,37.566849,126.858825
1,37.566778,126.858565
1,37.566762,126.858275
1,37.566808,126.858017
1,37.566909,126.857747
1,37.567025,126.857483
1,37.567148,126.857237
1,37.564969,126.86079
1,37.567261,126.856988
1,37.567364,126.856734
1,37.567456,126.856411
1,37.567521,126.856079
1,37.567613,126.855762
1,37.567724,126.855471
1,37.567823,126.855237
1,37.56795,126.855036
1,37.568041,126.854846
1,37.56815,126.854647
1,37.565143,126.860577
1,37.568248,126.85446
1,37.568371,126.854247
1,37.568474,126.854028
1,37.568605,126.853829
1,37.56872,126.853586
1,37.568844,126.853384
1,37.568333,126.853602
1,37.568198,126.853848
1,37.568024,126.85412
1,37.567857,126.854399
1,37.565289,126.860322
1,37.56769,126.854681
1,37.567542,126.854939
1,37.567372,126.855211
1,37.567186,126.855461
1,37.567019,126.85571
1,37.566849,126.855959
1,37.566677,126.85622
1,37.566484,126.856469
1,37.566221,126.856653
1,37.566014,126.856757
1,37.565446,126.860049
1,37.565769,126.856846
1,37.565531,126.856909
1,37.565267,126.856966
1,37.565026,126.857022
1,37.564765,126.857076
1,37.564478,126.857053
1,37.564216,126.856914
1,37.563987,126.856752
1,37.563756,126.856572
1,37.565604,126.859794
1,37.565776,126.859492
1,37.565946,126.859174
1,37.566084,126.85884
1,37.566211,126.85841
1,37.566294,126.858099
1,37.566376,126.857806
1,37.566494,126.857545
1,37.566602,126.857316
1,37.566722,126.85713
1,37.566856,126.856901
1,37.566984,126.85667
1,37.567125,126.856427
1,37.567259,126.856187
1,37.5674,126.855973
1,37.567544,126.855745
1,37.563574,126.856931
1,37.563812,126.857153
1,37.564034,126.857437
1,37.56414,126.857691
1,37.564214,126.858017
1,37.564249,126.858325
1,37.564292,126.858665
1,37.564323,126.859044
1,37.56431,126.859447
1,37.564284,126.859794
1,37.564209,126.86014
1,37.564127,126.860481
1,37.563977,126.860786
1,37.563854,126.861074
1,37.563701,126.86134
1,37.563551,126.861587
1,37.563405,126.861847
1,37.56328,126.862067
1,37.563158,126.862336
1,37.56305,126.862562
1,37.562923,126.862778
1,37.562803,126.862986
1,37.562699,126.863169
1,37.562579,126.86338
1,37.564159,126.861618
1,37.564298,126.861384
1,37.564432,126.861158
1,37.564561,126.860933
1,37.564686,126.860723
1,37.564815,126.860509
1,37.564935,126.860293
1,37.565072,126.860073
1,37.565212,126.85983
1,37.565364,126.859581
1,37.565532,126.859303
1,37.565691,126.859021
1,37.565856,126.858745
1,37.565748,126.857096
1,37.565498,126.857076
1,37.565251,126.857124
1,37.564999,126.857172
1,37.564768,126.85719
1,37.562879,126.863611
1,37.563024,126.8634
1,37.56316,126.863185
1,37.563302,126.862972
1,37.563433,126.862753
1,37.563572,126.862536
1,37.563718,126.862314
1,37.563847,126.86213
1,37.564007,126.861863
1,37.56413,126.861697
1,37.564344,126.861463
1,37.564572,126.861264
1,37.564751,126.861095
1,37.564932,126.860908
1,37.565107,126.8607
1,37.565256,126.860481
1,37.565399,126.860241
1,37.565538,126.860045
1,37.565773,126.859788
1,37.565939,126.85966
1,37.56613,126.859517
1,37.566338,126.859387
1,37.566542,126.859311
1,37.566742,126.859313
1,37.573877,126.864774
1,37.573933,126.865026
1,37.573942,126.865258
1,37.573899,126.865508
1,37.57383,126.865707
1,37.573753,126.865943
1,37.573671,126.866191
1,37.573588,126.866433
1,37.573501,126.866698
1,37.573411,126.866971
1,37.573327,126.867229
1,37.573228,126.867528
1,37.573145,126.867774
1,37.573058,126.868038
1,37.573871,126.865799
1,37.573798,126.866144
1,37.573826,126.866477
1,37.574004,126.866747
1,37.574237,126.86684
1,37.574488,126.866761
1,37.574701,126.866487
1,37.574888,126.866163
1,37.575075,126.865841
1,37.575259,126.865518
1,37.575448,126.865189
1,37.570032,126.861691
1,37.570321,126.861907
1,37.570587,126.862103
1,37.570872,126.862313
1,37.571126,126.862502
1,37.571373,126.862686
1,37.571651,126.86289
1,37.571942,126.863106
1,37.572216,126.863311
1,37.572478,126.863504
1,37.572734,126.863704
1,37.572994,126.863926
1,37.573224,126.864098
1,37.573502,126.864306
1,37.574018,126.864582
1,37.574308,126.864797
1,37.57458,126.864998
1,37.574849,126.865202
1,37.575117,126.865405
1,37.575404,126.865638
1,37.575658,126.865867
1,37.575898,126.8661
1,37.576124,126.866334
1,37.575192,126.865821
1,37.575329,126.865582
1,37.575494,126.865295
1,37.575652,126.865023
1,37.574639,126.863992
1,37.574777,126.863887
1,37.574891,126.863761
1,37.574993,126.863637
1,37.575848,126.864634
1,37.57567,126.86494
1,37.575477,126.865276
1,37.575291,126.865597
1,37.575116,126.865898
1,37.574933,126.866217
1,37.574759,126.866518
1,37.574589,126.866812
1,37.576104,126.862278
1,37.576218,126.862138
1,37.575989,126.862422
1,37.575868,126.862566
1,37.575744,126.86272
1,37.57561,126.862883
1,37.575479,126.863045
1,37.575357,126.863193
1,37.575232,126.863345
1,37.575111,126.863494
1,37.5745,126.864074
1,37.575647,126.863348
1,37.574351,126.864126
1,37.575403,126.863464
1,37.574203,126.864142
1,37.575197,126.863623
1,37.574061,126.864135
1,37.57497,126.863797
1,37.576021,126.864334
1,37.576145,126.864006
1,37.576097,126.86365
1,37.575911,126.864576
1,37.575898,126.863405
1,37.575786,126.864789
1,37.576238,126.866161
1,37.576036,126.865949
1,37.57579,126.8657
1,37.575545,126.865483
1,37.575251,126.86524
1,37.574964,126.865023
1,37.574686,126.864816
1,37.574402,126.864608
1,37.574149,126.864421
1,37.573696,126.863971
1,37.573405,126.863762
1,37.573173,126.86359
1,37.572933,126.863434
1,37.572648,126.863242
1,37.572357,126.86303
1,37.572109,126.862845
1,37.57183,126.862639
1,37.571562,126.862442
1,37.571274,126.862234
1,37.571013,126.862037
1,37.57073,126.861827
1,37.570493,126.861655
1,37.570194,126.861429
1,37.573743,126.864351
1,37.573627,126.864261
1,37.573493,126.864164
1,37.573225,126.863965
1,37.573104,126.863881
1,37.572962,126.86377
1,37.573765,126.86412
1,37.57364,126.86403
1,37.573507,126.863931
1,37.573236,126.863736
1,37.573107,126.863646
1,37.572971,126.863552
1,37.503343,127.002446
1,37.503636,127.002209
1,37.50393,127.00196
1,37.50427,127.001678
1,37.504591,127.00142
1,37.504936,127.001166
1,37.505315,127.00096
1,37.505711,127.000766
1,37.506085,127.000599
1,37.506477,127.000422
1,37.506877,127.000253
1,37.507258,127.000089
1,37.507035,127.000011
1,37.506637,127.00018
1,37.506255,127.000363
1,37.505885,127.000523
1,37.505473,127.00071
1,37.505078,127.000902
1,37.504709,127.001134
1,37.504358,127.001417
1,37.504025,127.001689
1,37.503717,127.001946
1,37.503415,127.002213
1,37.492512,126.856076
1,37.492793,126.85611
1,37.493059,126.856131
1,37.493328,126.856164
1,37.493571,126.856191
1,37.493819,126.856216
1,37.494081,126.856239
1,37.494315,126.856261
1,37.49455,126.856287
1,37.494824,126.856319
1,37.495097,126.856343
1,37.49538,126.856369
1,37.495659,126.8564
1,37.495934,126.856429
1,37.496219,126.856458
1,37.4965,126.856483
1,37.496366,126.8563
1,37.496101,126.856278
1,37.495837,126.856249
1,37.495568,126.856219
1,37.495282,126.856194
1,37.495007,126.856157
1,37.494738,126.856134
1,37.494472,126.856107
1,37.494212,126.856082
1,37.493956,126.856053
1,37.493711,126.85603
1,37.493474,126.856007
1,37.49323,126.855985
1,37.492943,126.85595
1,37.492659,126.855927
1,37.492381,126.8559
1,37.566256,126.805747
1,37.566558,126.805645
1,37.566869,126.805541
1,37.567198,126.805442
1,37.568365,126.805033
1,37.568698,126.804915
1,37.569033,126.804802
1,37.569368,126.804682
1,37.569499,126.804431
1,37.569133,126.804541
1,37.568794,126.80467
1,37.568458,126.804782
1,37.567336,126.805172
1,37.56699,126.805282
1,37.566654,126.805403
1,37.566354,126.805493
1,37.585726,127.071579
1,37.585568,127.071684
1,37.58543,127.071795
1,37.585255,127.071938
1,37.58511,127.072061
1,37.585088,127.072139
1,37.585119,127.072361
1,37.585156,127.072594
1,37.585193,127.072813
1,37.58523,127.073055
1,37.585267,127.073265
