개수,위도,경도,상세
1,37.5111466 ,127.0666037 ,경찰서
1,37.5083524 ,127.0409897 ,지구대
1,37.5138791 ,127.0293066 ,파출소
1,37.5152074 ,127.0338473 ,파출소
1,37.5148489 ,127.0605684 ,파출소
1,37.5006784 ,127.0489432 ,파출소
1,37.5210873 ,127.0532270 ,파출소
1,37.5183334 ,127.0241702 ,파출소
1,37.5293416 ,127.0355918 ,파출소
1,37.5285263 ,127.1274543 ,경찰서
1,37.5414579 ,127.1354748 ,지구대
1,37.5295087 ,127.1391995 ,지구대
1,37.5295697 ,127.1239563 ,지구대
1,37.5549581 ,127.1407803 ,지구대
1,37.5253425 ,127.1456295 ,파출소
1,37.5536205 ,127.1560818 ,파출소
1,37.5648437 ,127.1732748 ,파출소
1,37.5573421 ,127.1517305 ,파출소
1,37.5561836 ,127.1658284 ,파출소
1,37.6372958 ,127.0273511 ,경찰서
1,37.6201611 ,127.0282954 ,지구대
1,37.6163126 ,127.0303989 ,지구대
1,37.6306502 ,127.0175895 ,파출소
1,37.6409113 ,127.0171016 ,파출소
1,37.6443456 ,127.0265710 ,파출소
1,37.6394394 ,127.0123991 ,파출소
1,37.6359900 ,127.0326008 ,파출소
1,37.6236112 ,127.0481447 ,파출소
1,37.6248025 ,127.0181839 ,파출소
1,37.5512778 ,126.8500113 ,경찰서
1,37.5512778 ,126.8500113 ,지구대
1,37.5623207 ,126.8082914 ,지구대
1,37.5293298 ,126.8455742 ,지구대
1,37.5611652 ,126.8640098 ,지구대
1,37.5328952 ,126.8631355 ,지구대
1,37.5518991 ,126.8674085 ,지구대
1,37.5493916 ,126.8260837 ,지구대
1,37.5670522 ,126.8232263 ,지구대
1,37.5798086 ,126.8146637 ,파출소
1,37.5447718 ,126.8619202 ,파출소
1,37.5446703 ,126.8351964 ,파출소
1,37.4744399 ,126.9511936 ,경찰서
1,37.4859844 ,126.9343818 ,지구대
1,37.4783734 ,126.9576554 ,지구대
1,37.4839993 ,126.9333315 ,지구대
1,37.4738232 ,126.9351708 ,지구대
1,37.4892875 ,126.9447672 ,지구대
1,37.4873262 ,126.9142240 ,지구대
1,37.4746571 ,126.9778055 ,파출소
1,37.4611268 ,126.9192473 ,파출소
1,37.4802834 ,126.9155529 ,파출소
1,37.5468015 ,127.0778337 ,경찰서
1,37.5444558 ,127.1033877 ,지구대
1,37.5465667 ,127.0713499 ,지구대
1,37.5637230 ,127.0827863 ,파출소
1,37.5602505 ,127.0814843 ,파출소
1,37.5688192 ,127.0801404 ,파출소
1,37.5653353 ,127.0872180 ,파출소
1,37.5338683 ,127.0716102 ,파출소
1,37.5366309 ,127.0769210 ,파출소
1,37.5351513 ,127.0636287 ,파출소
1,37.5458868 ,127.0916497 ,파출소
1,37.4947362 ,126.8865906 ,경찰서
1,37.5000414 ,126.8893689 ,지구대
1,37.4947379 ,126.8388078 ,지구대
1,37.4892371 ,126.8907025 ,지구대
1,37.5065400 ,126.8582329 ,지구대
1,37.4917084 ,126.8564279 ,지구대
1,37.4866541 ,126.8913691 ,파출소
1,37.4791578 ,126.8926325 ,파출소
1,37.4834277 ,126.8418100 ,파출소
1,37.4814534 ,126.9102629 ,경찰서
1,37.4695308 ,126.9034406 ,지구대
1,37.4509431 ,126.9125325 ,지구대
1,37.4542242 ,126.8998381 ,파출소
1,37.4799190 ,126.8880499 ,파출소
1,37.4646641 ,126.8948276 ,파출소
1,37.5548232 ,126.9736623 ,경찰서
1,37.5680342 ,126.9800551 ,파출소
1,37.5562987 ,126.9718126 ,파출소
1,37.5635808 ,126.9839660 ,파출소
1,37.5594216 ,126.9762398 ,파출소
1,37.5578847 ,126.9671311 ,파출소
1,37.5578126 ,126.9790112 ,파출소
1,37.5638544 ,126.9754490 ,파출소
1,37.6418360 ,127.0721980 ,경찰서
1,37.6420263 ,127.0683655 ,지구대
1,37.6336663 ,127.0592758 ,지구대
1,37.6225423 ,127.0745497 ,지구대
1,37.6550066 ,127.0669434 ,지구대
1,37.6524287 ,127.0773287 ,지구대
1,37.6645128 ,127.0635938 ,지구대
1,37.6714827 ,127.0778607 ,파출소
1,37.6796671 ,127.0550431 ,파출소
1,37.6540208 ,127.0525818 ,경찰서
1,37.6522878 ,127.0517221 ,지구대
1,37.6435218 ,127.0345748 ,파출소
1,37.6644651 ,127.0399956 ,파출소
1,37.6585014 ,127.0271436 ,파출소
1,37.6794987 ,127.0434863 ,파출소
1,37.6839868 ,127.0492833 ,파출소
1,37.6575676 ,127.0380293 ,파출소
1,37.6474873 ,127.0255867 ,파출소
1,37.5850504 ,127.0456786 ,경찰서
1,37.5712809 ,127.0511477 ,지구대
1,37.5728426 ,127.0372307 ,지구대
1,37.5964917 ,127.0681261 ,지구대
1,37.5840966 ,127.0452633 ,파출소
1,37.5855849 ,127.0420335 ,파출소
1,37.5761361 ,127.0479386 ,파출소
1,37.5863258 ,127.0542318 ,파출소
1,37.5694324 ,127.0648990 ,파출소
1,37.5767834 ,127.0743654 ,파출소
1,37.5846694 ,127.0680102 ,파출소
1,37.5910751 ,127.0518528 ,파출소
1,37.5129966 ,126.9427749 ,경찰서
1,37.4804874 ,126.9797723 ,지구대
1,37.5111541 ,126.9332824 ,지구대
1,37.5064892 ,126.9358441 ,지구대
1,37.4841190 ,126.9732502 ,지구대
1,37.5123933 ,126.9536430 ,지구대
1,37.4866619 ,126.9059134 ,지구대
1,37.4985670 ,126.9206022 ,파출소
1,37.5507439 ,126.9542594 ,경찰서
1,37.5473378 ,126.9291956 ,지구대
1,37.5517993 ,126.9540594 ,지구대
1,37.5687535 ,126.9090424 ,지구대
1,37.5518627 ,126.9134473 ,지구대
1,37.5425671 ,126.9430791 ,지구대
1,37.5782477 ,126.8938555 ,파출소
1,37.5543305 ,126.9027303 ,파출소
1,37.5603349 ,126.9237597 ,파출소
1,37.4814049 ,126.9830202 ,경찰서
1,37.4795145 ,126.9821470 ,지구대
1,37.5015562 ,126.9980944 ,파출소
1,37.4941411 ,126.9888281 ,파출소
1,37.4839725 ,126.9953204 ,파출소
1,37.5648701 ,126.9668814 ,경찰서
1,37.5698922 ,126.9611209 ,지구대
1,37.5585748 ,126.9429921 ,지구대
1,37.5952417 ,126.9464180 ,파출소
1,37.5703278 ,126.9329029 ,파출소
1,37.5760219 ,126.9240678 ,파출소
1,37.5829851 ,126.9128737 ,파출소
1,37.5881612 ,126.9445399 ,파출소
1,37.5836756 ,126.9361657 ,파출소
1,37.6015766 ,126.9215387 ,경찰서
1,37.6015836 ,126.9264643 ,지구대
1,37.5918104 ,126.9053669 ,지구대
1,37.6081391 ,126.9323304 ,파출소
1,37.5905279 ,126.9175364 ,파출소
1,37.6044279 ,126.9151883 ,파출소
1,37.4954676 ,127.0053395 ,경찰서
1,37.5059834 ,127.0051816 ,지구대
1,37.4875131 ,127.0289593 ,파출소
1,37.4919865 ,127.0107859 ,파출소
1,37.4845428 ,127.0378441 ,파출소
1,37.4852897 ,127.0167473 ,파출소
1,37.4718450 ,127.0271792 ,파출소
1,37.4549920 ,127.0648545 ,파출소
1,37.5616915 ,127.0363006 ,경찰서
1,37.5603055 ,127.0417660 ,지구대
1,37.5481496 ,127.0551847 ,지구대
1,37.5380443 ,127.0522756 ,지구대
1,37.5666533 ,127.0326493 ,파출소
1,37.5574251 ,127.0288558 ,파출소
1,37.5449597 ,127.0138463 ,파출소
1,37.5547323 ,127.0196132 ,파출소
